Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Mathematics for Machine Learning Specialization,Data Science,Machine Learning,"Eigenvalues And Eigenvectors, Principal Component Analysis (PCA), Multivariable Calculus, Linear Algebra, Basis (Linear Algebra), Transformation Matrix, Linear Regression, Vector Calculus, Gradient Descent, Dimensionality Reduction, Python Programming,",4.6,12121.0,Coursera,,
Modern and Contemporary Art and Design Specialization,Arts and Humanities,Music and Art,"Photography, Design, Art, History, Museums, Creativity, Art History, Art Direction,",4.8,2112.0,Coursera,,
Agile Development Specialization,Computer Science,Design and Product,"hypothesis-driven development, Design Thinking, User Experience (UX), agile, Lean Startup, agile user stories, User Experience Design (UXD), Agile Software Development, Product Management, Software Development, Usability Testing, Continuous Delivery,",4.7,2736.0,Coursera,,
Career Success Specialization,Business,Business Essentials,"Project Management, Information Technology (IT) Management, Communication, Negotiation, Leadership, Team Management, Task Management, Management, Planning, Plan, Accounting, Financial Ratio,",4.6,14003.0,Coursera,,
U.S. Federal Taxation Specialization,Business,Business Essentials,"Depreciation, Federal Tax Returns, Tax Law,",4.8,629.0,Coursera,,
The Business of Music Production Specialization,Arts and Humanities,Music and Art,"Copyright, Music production, Contracts, Pro Tools, Music recording, Music business, Revenue streams, Teambuilding, Audio Production, Music, Songwriting, Create music legally,",4.9,563.0,Coursera,,
The Business of Health Care Specialization,Health,Healthcare Management,"Insurance, Health Economics,",4.6,1223.0,Coursera,,
Practical Data Science on the AWS Cloud Specialization,Data Science,Machine Learning,"Natural Language Processing with BERT, ML Pipelines and ML Operations (MLOps), A/B Testing and Model Deployment, Data Labeling at Scale, Automated Machine Learning (AutoML), Statistical Data Bias Detection, Multi-class Classification with FastText and BlazingText, Data ingestion, Exploratory Data Analysis, ML Pipelines and MLOps, Model Training and Deployment with BERT, Model Debugging and Evaluation,",4.6,438.0,Coursera,,
Risk Management Specialization,Business,Finance,"Credit Risk Measurement and Management, Application of Financial Statistics and Probability, Market Risk Measurement and Management, Operational Risk Measurement and Management, Risk Management, Financial Risk, Leadership and Financial Risk Estimation and Management, Regulations, Credit Analysis, Financial Analysis, credit risk, Market Risk Management,",4.7,303.0,Coursera,,
Music Production Specialization,Arts and Humanities,Music and Art,"Audio Recording, Music, Music production, Sound Design, Audio Editing, Audio Production, Songwriting, Music recording, MIDI, Pro Tools, music editing, Music mixing,",4.8,1759.0,Coursera,,
